FID,POLYGON_ME,X,Y,F2013LIDAR
120,743,"585,753.316005000030000","7,910,665.830430000100000",5.199999809270000
121,764,"585,780.422698999990000","7,910,665.367700000300000",5.098000049590000
122,763,"585,778.502776999960000","7,910,664.367739999700000",4.909999847410000
123,852,"585,877.300607000010000","7,910,663.445810000400000",4.986999988560000
124,741,"585,743.089080999950000","7,910,662.976400000000000",5.032000064850000
125,855,"585,861.743076000010000","7,910,660.588299999900000",4.966000080110000
126,779,"585,768.162861000050000","7,910,660.018790000100000",4.900000095370000
127,738,"585,737.618865999980000","7,910,659.884540000000000",4.901999950410000
128,726,"585,705.986753999950000","7,910,659.123470000000000",4.910999774930000
129,837,"585,896.509395999950000","7,910,658.683299999700000",4.913000106810000
130,842,"585,885.238123000020000","7,910,658.683299999700000",4.974999904630000
131,734,"585,678.041090999960000","7,910,658.219689999700000",4.954999923710000
132,854,"585,875.713103999970000","7,910,657.889550000400000",4.921000003810000
133,733,"585,665.911483000030000","7,910,657.387269999800000",4.882999897000000
134,736,"585,719.305537999960000","7,910,657.387269999800000",4.834000110630000
135,735,"585,682.382241999960000","7,910,656.279550000100000",4.830999851230000
136,744,"585,757.834877999970000","7,910,655.674850000100000",4.933000087740000
137,870,"585,846.503046000030000","7,910,655.508290000300000",5.013000011440000
138,867,"585,837.771778000050000","7,910,654.873289999600000",4.881999969480000
139,768,"585,811.205149000040000","7,910,654.854319999900000",4.868000030520000
140,767,"585,799.313378000050000","7,910,654.735399999700000",4.980000019070000
141,861,"585,828.341734000020000","7,910,654.027590000100000",4.885000228880000
142,737,"585,724.053553999980000","7,910,653.877559999900000",4.918000221250000
143,725,"585,688.947754999970000","7,910,653.345300000200000",5.054999828340000
144,742,"585,744.949873000030000","7,910,652.550710000100000",4.855999946590000
145,835,"585,902.383156999950000","7,910,652.492039999900000",4.847000122070000
146,731,"585,658.895338000030000","7,910,652.392719999900000",4.894999980930000
147,732,"585,664.246634999990000","7,910,652.154889999900000",4.972000122070000
148,862,"585,821.420495999980000","7,910,651.857029999600000",4.880000114440000
149,727,"585,708.484026000020000","7,910,651.512729999600000",5.216000080110000
150,739,"585,740.566345000060000","7,910,651.487870000300000",4.912000179290000
151,760,"585,787.064852999990000","7,910,650.454370000400000",4.915999889370000
152,761,"585,796.816105999980000","7,910,650.216529999900000",4.968999862670000
