point ID,X,Y
159,585578.3097136803,7910374.161101736
160,585602.5985122584,7910379.241111893
161,585574.6584563758,7910394.481142372
162,585578.9447149485,7910404.006161422
163,585595.7722486043,7910402.259907931
164,585600.217257496,7910389.718632847
165,585537.5637988532,7910417.129521005
166,585536.4689873746,7910403.578159779
167,585518.7783446163,7910395.433644287
168,585521.6887671044,7910418.452440321
169,585796.5914002424,7910357.068984222
170,585790.2413875433,7910377.971109357
171,585798.9726550048,7910394.904476557
172,585810.6143449545,7910395.962812003
173,585819.3456124179,7910383.262786608
174,585821.1976994546,7910362.889829192
175,585779.6580330431,7910357.862735808
176,585780.187200767,7910374.796103004
177,585769.074678544,7910354.423145596
178,585766.6934237806,7910362.889829192
179,585770.9267655797,7910375.854438454
180,585760.0788272172,7910363.154413056
181,585753.1996467924,7910357.862735808
182,585750.2892243043,7910362.625245333
183,585759.5496594934,7910378.235693216
184,585767.2225915045,7910379.558612529
185,585723.0370864682,7910388.289879993
186,585733.0912732417,7910393.846141104
187,585710.8662287919,7910385.90862523
188,585702.9287129175,7910387.760712266
189,585697.637035667,7910394.63989269
190,585796.0622325186,7910400.989905395
191,585806.3810031554,7910405.223247193
192,585811.1435126811,7910400.460737668
193,585760.8725788034,7910400.725321528
194,585775.8749569338,7910406.601252966
195,585792.6226423066,7910413.160763066
196,585808.7622579178,7910412.631595343
197,585791.2997229937,7910418.187856454
198,585807.7039224682,7910428.242043227
199,585817.1547952825,7910424.077251818
200,585820.7082479503,7910422.511323523
201,585819.0810285555,7910407.869085819
202,585828.0768798795,7910422.685782116
203,585836.3058136813,7910414.992456216
204,585828.0768798795,7910404.16491174
205,585773.8371880669,7910413.42534693
206,585777.0121944183,7910420.304527353
207,585759.2850756301,7910414.219098516
208,585741.822540706,7910395.962812003
209,585739.7058698041,7910404.429495603
210,585747.9079695437,7910408.662837405
211,585752.4058952052,7910408.662837405
212,585721.9787510186,7910400.460737668
213,585731.2391862059,7910407.339918092
214,585695.5203647669,7910404.958663333
215,585706.8974708542,7910406.546166502
